Affinity,Quest_Name,Quest,Bonuses,Required,Required2,Quest_Image,Affinity_Image,AppImage,Stature,Equip,Threat,QP
Shadow,Whispers in the Dark,"Among the cursed lands described in the Grim Hand chronicles, 'Whispers in the Dark' stands as a trial of endurance and will. A shadowy cult operates from within the city's underbelly, spreading fear and dissent. Unmask their leader. The air is thick with dread, and only those marked by shadow may prevail.",**Success:** Gain +1 Action Point permanently. **Failure:** All players gain 1 Doubt.,Shadow7.jpg,Nightgaunt.jpg,Shadowquest1.jpg,Shadow.png,https://i.imgur.com/sw4zsUQ.jpeg,Adept,Daggers,Nightgaunt,10
Shadow,The Stolen Light,"In the shadowed corners of the realm, whispers speak of a mission known only as 'The Stolen Light'. A powerful artifact of light has been stolen and hidden in a place of perpetual gloom. Retrieve it. This task is not for the faint-hearted, as the forces at play are steeped in ancient curses and forgotten blood rites.",**Success:** Gain 1 temporary Agility for the next 2 Exploration encounters. **Failure:** The next Threat revealed has +1 Attack Rank.,Shadow8.jpg,Master Assassin.jpg,Shadowquest2.jpg,Shadow.png,https://i.imgur.com/1PbvCv9.jpeg,Veteran,Veil of The Night,Master Assassin,15
Shadow,Umbral Ascent,"Bound by the decrees of the Grim Hand, the quest 'Umbral Ascent' beckons the brave. Navigate a treacherous, shadow-wreathed tower to reach a hidden vantage point and observe a dark ritual. Yet beneath its surface lies a web of corruption, betrayal, and the echoes of long-dead warriors.",**Success:** Gain 10 Gold. **Failure:** Lose 1 LE.,Shadow6.jpg,Gloom Weaver.jpg,Shadowquest3.jpg,Shadow.png,https://i.imgur.com/bAJKELW.jpeg,Novice,Shroud of Silence,Gloom Weaver,5
Shadow,The Unseen Hand,"From the depths of the Grim Hand archives, the tale of 'The Unseen Hand' emerges — a grim endeavor where A network of spies and informants threatens your progress. Disrupt their communications and expose their secrets. The path is lined with peril, and the outcome may reshape the fate of the afflicted lands.",**Success:** Restore 2 Action Points. **Failure:** All players lose 1 Gold.,Shadow10.jpg,The Soul Binder.jpg,Shadowquest4.jpg,Shadow.png,https://i.imgur.com/Es4eNZF.jpeg,Legend,Shadowdancers Blade,The Soul Binder,25
Shadow,Veiled Truths,"In the shadowed corners of the realm, whispers speak of a mission known only as 'Veiled Truths'. Delve into a forgotten archive rumored to hold forbidden knowledge, guarded by illusions and unseen sentinels. This task is not for the faint-hearted, as the forces at play are steeped in ancient curses and forgotten blood rites.",**Success:** Gain 1 XP. **Failure:** Gain 1 Corruption.,Shadow9.jpg,Soul Thief.jpg,Shadowquest5.jpg,Shadow.png,https://i.imgur.com/jHMrxa6.jpeg,Master,Ring of Phantoms,Soul Thief,20
Iron,The Forgemaster's Lament,"Bound by the decrees of the Grim Hand, the quest 'The Forgemaster's Lament' beckons the brave. A legendary forge has fallen silent, its master corrupted by a dark entity. Reclaim the forge and purify its spirit. Yet beneath its surface lies a web of corruption, betrayal, and the echoes of long-dead warriors.",**Success:** Gain +1 Strength permanently. **Failure:** Lose 1 Agility for the next Combat encounter.,Iron10.jpg,The Obsidian Tyrant.jpg,Ironquest1.jpg,Iron.png,https://i.imgur.com/0TcsFmW.jpeg,Legend,Forgemasters Hammer,The Obsidian Tyrant,25
Iron,Steel Against Shadow,"From the depths of the Grim Hand archives, the tale of 'Steel Against Shadow' emerges — a grim endeavor where Defend a vital strongpoint from an unending horde of shadowy creatures, holding the line until dawn. The path is lined with peril, and the outcome may reshape the fate of the afflicted lands.",**Success:** Gain 1 temporary Attack Score for the next 2 Combat encounters. **Failure:** All players lose 1 LE.,Iron6.jpg,Animated Armor.jpg,Ironquest2.jpg,Iron.png,https://i.imgur.com/XK5vFLZ.jpeg,Novice,Steel Greaves,Animated Armor,5
Iron,The Golem's Heart,"In the shadowed corners of the realm, whispers speak of a mission known only as 'The Golem's Heart'. A rogue construct rampages through the countryside. Find its core and disable it before it causes more destruction. This task is not for the faint-hearted, as the forces at play are steeped in ancient curses and forgotten blood rites.",**Success:** Gain 7 Gold. **Failure:** Gain 1 Corruption.,Iron9.jpg,Siege Automaton.jpg,Ironquest3.jpg,Iron.png,https://i.imgur.com/IWK4dSg.jpeg,Master,Gauntlets of the Golem,Siege Automaton,20
Iron,Unbreakable Chains,"In the shadowed corners of the realm, whispers speak of a mission known only as 'Unbreakable Chains'. Secure a dangerous prisoner or artifact within an iron-bound dungeon, resisting all attempts at escape. This task is not for the faint-hearted, as the forces at play are steeped in ancient curses and forgotten blood rites.",**Success:** Restore 1 LE. **Failure:** All players have their Action Point maximum reduced by 1 for the next Exploration.,iron7.jpg,Crushing Golem.jpg,Ironquest4.jpg,Iron.png,https://i.imgur.com/EXKAIKd.jpeg,Adept,Adamantine Plate,Crushing Golem,10
Iron,The Sentinel's Vigil,"Within the annals of the Grim Hand, 'The Sentinel's Vigil' is etched as a test of resolve. Patrol the desolate borders of a forgotten kingdom, ensuring no dark forces cross its ancient, iron-bound wards. The terrain is unforgiving, and the enemies are not merely beasts — they are remnants of a broken world.",**Success:** Gain 1 XP. **Failure:** Lose 2 Gold.,Iron8.jpg,Ironclad Captain.jpg,Ironquest5.jpg,Iron.png,https://i.imgur.com/RhjHbSa.jpeg,Veteran,Defenders Aegis,Ironclad Captain,15
Nature,The Blighted Grove,"From the depths of the Grim Hand archives, the tale of 'The Blighted Grove' emerges — a grim endeavor where A once-sacred grove has been twisted by a dark curse. Cleanse the corruption and restore its vitality. The path is lined with peril, and the outcome may reshape the fate of the afflicted lands.",**Success:** Gain +1 Agility permanently. **Failure:** Lose 1 Strength for the next Combat encounter.,Wild10.jpg,The Blight-Flesh Horror.jpg,Naturequest1.jpg,Nature.png,https://i.imgur.com/6cDdLIV.jpeg,Legend,Wildspeakers Staff,The Blight-Flesh Horror,25
Nature,Rootbound Secrets,"In the shadowed corners of the realm, whispers speak of a mission known only as 'Rootbound Secrets'. Follow the ancient roots of a dying World Tree to uncover the source of its ailment and find a cure. This task is not for the faint-hearted, as the forces at play are steeped in ancient curses and forgotten blood rites.",**Success:** Gain 1 temporary LE for the next 2 Combat encounters. **Failure:** All players lose 1 Action Point.,Wild8.jpg,Bestial Horror.jpg,Naturequest2.jpg,Nature.png,https://i.imgur.com/krXmzs7.jpeg,Veteran,Treant Bark Armour,Bestial Horror,15
Nature,The Venomous Bloom,"From the depths of the Grim Hand archives, the tale of 'The Venomous Bloom' emerges — a grim endeavor where A rare, toxic plant has begun to spread, poisoning the wildlife. Harvest its essence to create an antidote. The path is lined with peril, and the outcome may reshape the fate of the afflicted lands.",**Success:** Gain 9 Gold. **Failure:** Gain 1 Doubt.,Wild6.jpg,Blight-Ridden Bear.jpg,Naturequest3.jpg,Nature.png,https://i.imgur.com/xvQL0UX.jpeg,Novice,Serpent Fang Dagger,Blight-Ridden Bear,5
Nature,Whispers of the Wild,"In the shadowed corners of the realm, whispers speak of a mission known only as 'Whispers of the Wild'. Aid a struggling community of forest spirits against encroaching darkness, restoring balance to their domain. This task is not for the faint-hearted, as the forces at play are steeped in ancient curses and forgotten blood rites.",**Success:** Restore 2 Action Points. **Failure:** All players have their poker hand rank reduced by 1 for the next Combat.,Wild9.jpg,Whisperwind Spirit.jpg,Naturequest4.jpg,Nature.png,https://i.imgur.com/jX3j3bC.jpeg,Master,Heartwood Shield,Whisperwind Spirit,20
Nature,The Cycle's Embrace,"From the depths of the Grim Hand archives, the tale of 'The Cycle's Embrace' emerges — a grim endeavor where Witness and protect a rare, dangerous natural phenomenon, understanding its grim place in the world's cycle. The path is lined with peril, and the outcome may reshape the fate of the afflicted lands.",**Success:** Gain 1 XP. **Failure:** Lose 1 LE.,Wild7.jpg,Twisted Treant.jpg,Naturequest5.jpg,Nature.png,https://i.imgur.com/wP0L3Ap.jpeg,Adept,Bestial Claws,Twisted Treant,10
